,count,mean,std,min,25%,50%,75%,max
2666,57268.0,28.38689331373135,9.177415792782028,-0.9621000000000008,21.95855,27.934785,33.88282999999999,61.71917
2668,57268.0,28.4252539319403,9.193358499994945,-0.9659299999999998,21.984777499999996,27.975934999999986,33.93613500000001,61.78515
2670,57268.0,28.46376348477612,9.208811931477555,-0.9697200000000001,22.0100225,28.018685000000005,33.98933250000001,61.85063000000001
2672,57268.0,28.501388445671644,9.223704784698773,-0.9711900000000001,22.038652499999998,28.061695,34.042019999999994,61.91537000000001
2674,57268.0,28.538695873283576,9.238115676159586,-0.9721299999999993,22.067034999999994,28.102124999999997,34.09209999999999,61.980369999999986
2676,57268.0,28.576172092238806,9.25203187015399,-0.9719899999999995,22.095594999999996,28.138395,34.143842500000005,62.04508
2678,57268.0,28.61339847164179,9.26526323219363,-0.9700300000000007,22.125135,28.17839000000001,34.1942425,62.108329999999995
2680,57268.0,28.656599550447762,9.279097830393727,-0.9647400000000003,22.1601,28.223875000000007,34.25067,62.177880000000016
2682,57268.0,28.697788720298508,9.291027416553302,-0.9594599999999998,22.194902499999998,28.266614999999987,34.303239999999995,62.23944
2684,57268.0,28.773331990000003,9.311973483042571,-0.9472500000000008,22.260517500000002,28.344350000000006,34.398392500000014,62.35401999999999
2686,57268.0,28.81977811686567,9.325562528764486,-0.9414899999999997,22.30032749999999,28.39242,34.45514250000001,62.427430000000015
2688,57268.0,28.865593221044772,9.339258190219082,-0.9359799999999994,22.337195,28.440070000000006,34.510782500000005,62.501780000000004
2690,57268.0,28.911890527761198,9.353183565549596,-0.9312299999999992,22.373652499999988,28.49064,34.568407500000006,62.575680000000006
2692,57268.0,28.958326927611928,9.367193027823308,-0.9267899999999999,22.412450000000007,28.539759999999998,34.626355000000004,62.64968999999999
2694,57268.0,29.005673688059698,9.381500228974257,-0.9229700000000005,22.450532499999998,28.58741,34.685542500000004,62.72518000000001
2696,57268.0,29.053281617910443,9.396001300827447,-0.9188600000000003,22.49025250000001,28.636849999999992,34.74462499999999,62.80233999999999
2698,57268.0,29.100968486268656,9.410562260681482,-0.9144700000000003,22.5279075,28.68572500000001,34.80251500000001,62.879839999999994
2700,57268.0,29.15046802701493,9.425546346449027,-0.9100500000000005,22.568654999999996,28.735384999999994,34.86268000000001,62.95938000000001
2702,57268.0,29.200658881492537,9.440758951433283,-0.9050000000000001,22.6110125,28.785375000000002,34.922895,63.04061
2704,57268.0,29.250371496268656,9.455965284725123,-0.9007999999999997,22.654302499999993,28.83597499999999,34.98606000000001,63.12242000000001
2706,57268.0,29.298850371343278,9.47092314009766,-0.8963500000000002,22.692922499999998,28.886744999999994,35.047045,63.20355000000001
2708,57268.0,29.346915562835814,9.485850784574618,-0.8915899999999998,22.7302775,28.93711500000001,35.106475,63.283550000000005
2710,57268.0,29.39530006402985,9.500603276096143,-0.8880099999999999,22.769262500000004,28.98813000000001,35.165794999999996,63.36323999999998
2712,57268.0,29.470902249104473,9.523025722955802,-0.8779400000000002,22.832377499999996,29.068140000000003,35.25826,63.48755
2714,57268.0,29.51540486582091,9.536030900968331,-0.8741500000000001,22.870489999999993,29.114609999999992,35.31297250000001,63.56055000000001
2716,57268.0,29.567808423134327,9.55128933737946,-0.8680800000000001,22.915157499999996,29.169774999999998,35.37758,63.64729999999998
2718,57268.0,29.617603088656715,9.565501064229924,-0.8606699999999998,22.9579975,29.222620000000013,35.438887500000014,63.72959
2720,57268.0,29.666114352686566,9.579461484022215,-0.8515299999999996,22.997975,29.273560000000003,35.498774999999995,63.8106
2722,57268.0,29.71403548238806,9.593256872028942,-0.8414600000000005,23.038532500000006,29.32377499999999,35.55616,63.89067999999999
2724,57268.0,29.762621951641794,9.606850298157928,-0.83024,23.07813249999999,29.375065,35.61456999999999,63.97060999999999
